State-County FIPS,Active Loans,Average Borrower Gross Income,Very Low Income,Low Income,Moderate Income,Average Debt Ratio,"American Indian/
Alaskan Native",Asian,"Black/
African-America",Hawaiian/Pacific Islander,White,Hispanic,Married,Average No of Depend,Average Hshld Size,First Time Home Buyer,Average Borrower Age,Disability,PUD,Condo,Coop,Unknown  HSG Proj Type,Detached Structure,Attached Structure,Unknown Stucture,Manufactured Homes,Average Living Area (Square Ft),Average Request Amount,Average Loan Amount,Average LTV,Average Appraised Value
01001,123,"54,069.98",1,10,111,0.35,0,0,11,0,113,3,56,0.8,2.1,101,36,1,21,0,0,3,119,1,3,0,"1,608","141,430.75","140,690.34",0.98,"143,260.25"
01003,"1,300","53,844.14",14,122,"1,142",0.36,4,2,76,5,"1,214",33,615,0.7,2.2,"1,104",38,6,343,6,2,46,"1,241",13,46,1,"1,688","132,843.54","131,807.31",1,"133,171.71"
01005,67,"44,365.34",5,14,48,0.36,0,0,25,0,43,1,25,0.9,2.1,57,39,1,1,0,0,4,63,0,4,0,"1,518","101,446.28","101,311.15",0.96,"105,179.10"
01007,83,"52,175.29",3,6,73,0.34,0,0,11,0,72,0,38,0.7,2.1,70,37,0,0,0,0,2,80,1,2,0,"1,413","109,024.70","108,577.41",0.97,"112,278.05"
01009,579,"51,319.76",6,78,486,0.34,2,3,7,0,567,15,274,0.7,2.1,481,36,1,11,0,1,20,551,8,20,0,"1,445","115,258.32","114,486.41",0.98,"116,973.32"
01011,13,"48,735.37",0,0,12,0.37,0,0,11,0,2,0,6,0.2,1,8,43,0,3,0,0,3,10,0,3,0,"1,712","118,449.75","114,555.77",0.98,"120,041.67"
01013,44,"49,536.32",1,7,36,0.35,0,0,12,0,32,1,20,0.9,2.4,40,38,1,1,0,0,4,40,0,4,0,"1,612","100,948.91","100,948.91",0.99,"101,909.09"
01015,501,"48,840.26",10,65,421,0.35,0,1,41,4,456,9,220,0.7,2.2,420,36,1,4,0,0,17,483,1,17,0,"1,535","109,048.79","108,523.41",0.97,"111,799.66"
01017,244,"46,856.03",10,46,188,0.35,0,0,56,0,189,4,88,0.8,2.2,222,39,4,5,0,0,1,241,2,1,0,"1,570","92,635.43","92,676.64",0.97,"95,963.73"
01019,142,"48,983.20",6,17,119,0.35,0,0,2,1,139,1,80,0.6,2.2,122,38,0,0,0,0,1,140,1,1,0,"1,500","98,482.58","98,635.08",0.96,"102,347.89"
01021,219,"50,468.04",5,25,188,0.36,1,0,14,0,204,4,107,0.8,2.3,176,37,2,6,0,0,3,212,4,3,0,"1,558","112,980.02","112,734.80",0.97,"116,454.17"
01023,24,"50,100.52",2,1,20,0.32,0,0,8,0,16,0,10,0.6,1.8,20,42,1,0,0,0,1,23,0,1,0,"1,814","97,038.39","96,062.83",0.96,"100,465.22"
01025,100,"54,937.38",1,5,94,0.36,0,0,23,0,77,1,50,1,2.5,84,38,1,0,0,0,3,97,0,3,0,"1,645","106,977.52","106,947.68",0.97,"109,579.50"
01027,29,"51,170.38",0,3,26,0.33,0,0,5,0,24,0,18,1,2.6,25,41,2,0,0,0,1,27,1,1,0,"1,642","97,684.07","97,550.31",0.97,"100,882.76"
01029,47,"65,914.40",1,5,41,0.35,0,0,2,0,46,0,27,1.2,2.7,38,35,0,1,0,0,2,45,0,2,0,"1,758","116,685.70","116,685.70",0.96,"121,087.23"
01031,386,"51,626.13",9,38,331,0.34,2,6,52,1,327,22,150,1,2.3,321,38,1,26,0,0,13,339,34,13,0,"1,578","113,007.98","111,631.71",0.98,"114,702.04"
01033,108,"48,543.35",5,20,83,0.34,1,1,5,1,101,0,58,0.8,2.5,97,37,1,2,0,0,1,107,0,1,0,"1,602","92,731.65","93,006.28",0.99,"93,609.26"
01035,16,"45,625.00",0,3,13,0.37,0,0,5,0,11,0,10,0.4,1.6,15,41,0,0,0,0,1,15,0,1,0,"1,514","76,981.75","76,981.75",0.89,"84,625.00"
01037,20,"53,807.30",0,2,18,0.3,0,0,4,0,16,0,12,1,2.6,14,38,0,0,0,0,1,19,0,1,0,"1,533","104,756.20","105,394.42",0.96,"108,300.00"
01039,172,"51,046.92",7,26,136,0.34,1,0,17,0,155,2,86,0.7,2.1,141,37,1,1,0,0,10,162,0,10,0,"1,533","90,577.26","89,697.35",0.96,"93,785.25"
01041,27,"41,360.31",2,4,20,0.31,0,0,6,0,21,0,9,0.4,1.8,23,38,0,0,0,0,3,24,0,3,0,"1,639","85,934.77","84,231.85",0.98,"88,084.62"
01043,680,"49,287.73",15,86,561,0.35,0,2,3,1,674,11,355,0.7,2.3,551,36,4,0,0,0,21,657,2,21,0,"1,465","104,317.88","103,108.20",0.99,"105,748.19"
01045,377,"47,047.51",14,66,290,0.33,2,2,71,1,302,16,147,0.8,2.2,336,39,5,2,0,0,21,347,9,21,0,"1,472","96,647.06","95,756.55",0.99,"97,659.43"
01047,107,"48,155.24",2,13,92,0.36,0,0,64,0,43,1,42,1,2.3,97,40,1,0,0,0,0,106,1,0,0,"1,718","109,182.91","109,125.56",0.97,"110,688.41"
01049,527,"46,665.43",18,77,424,0.34,3,5,8,0,510,24,280,0.7,2.1,426,35,1,2,0,1,38,489,0,38,0,"1,571","99,407.85","98,846.04",0.99,"101,151.42"
01051,838,"51,370.34",13,93,727,0.35,4,3,112,1,720,12,357,0.7,2.2,687,36,4,85,0,0,13,813,12,13,0,"1,573","130,747.13","130,520.76",0.98,"132,280.06"
01053,221,"47,980.80",7,24,188,0.35,7,0,57,1,157,5,101,0.8,2,200,38,2,0,0,0,21,200,0,21,0,"1,645","96,898.95","96,854.62",0.97,"100,231.05"
01055,547,"49,664.54",6,77,462,0.35,2,2,21,0,524,4,270,0.7,2.2,442,37,5,2,0,0,10,535,2,10,0,"1,622","115,250.76","115,139.15",0.98,"117,651.42"
01057,61,"51,129.16",3,5,53,0.33,0,0,5,0,56,0,33,0.9,2.4,53,37,1,1,0,0,2,58,1,2,0,"1,723","102,753.59","102,866.27",0.97,"106,273.77"
01059,129,"49,860.61",2,21,105,0.34,0,0,4,1,125,5,73,0.9,2.5,102,36,0,2,0,0,3,125,1,3,0,"1,586","89,812.13","89,432.91",0.98,"91,194.92"
01061,165,"49,818.88",8,22,134,0.33,0,0,12,0,153,2,86,0.9,2.5,136,39,0,0,0,0,6,158,1,6,0,"1,604","96,146.05","95,789.87",0.97,"98,942.07"
01063,9,"43,722.00",2,0,6,0.39,0,0,5,0,4,0,2,0.8,1.4,6,34,0,0,0,0,2,7,0,2,0,"1,784","123,267.50","116,237.78",0.98,"125,875.00"
01065,83,"48,124.88",0,12,70,0.38,0,0,31,0,52,0,28,0.6,1.9,72,39,0,6,0,0,2,81,0,2,0,"1,495","116,222.39","115,437.19",0.99,"117,373.17"
01067,147,"47,653.03",2,24,118,0.35,0,1,29,1,116,2,55,0.6,1.8,129,37,1,2,0,0,14,133,0,14,0,"1,579","113,461.05","112,058.10",0.98,"114,242.36"
01069,369,"51,355.49",5,39,321,0.34,0,1,34,1,336,7,196,0.8,2.4,307,37,1,7,0,0,10,358,1,10,0,"1,526","118,695.41","118,044.76",0.99,"119,279.57"
01071,352,"47,322.78",8,58,282,0.33,2,0,11,0,340,5,191,0.8,2.2,285,37,1,1,0,0,37,315,0,37,0,"1,507","100,104.84","99,621.06",0.99,"100,890.52"
01073,"1,170","51,990.45",20,126,"1,024",0.36,2,1,345,2,823,13,394,0.6,2.1,"1,030",38,9,300,0,1,5,"1,146",19,5,0,"1,543","129,241.39","129,405.23",0.99,"130,593.63"
